season,proposed,pairs,actual,matched,hits
2016-17,293,272,10,9,10
2017-18,209,209,13,12,15
2018-19,205,204,16,11,13
2019-20,229,219,8,5,7
2020-21,173,172,4,2,4
2021-22,128,128,3,2,2
2022-23,210,204,4,4,6
2023-24,213,212,2,2,4
2024-25,206,203,3,3,5
2025-26,252,244,8,6,11
