season,era,team_a,team_b,is_real,salary_similarity,salary_magnitude,roster_slot_distance,record_gap,disposition_pair,value_moving,value_gap,complete
2016-17,2017,ATL,BKN,0,0.8124931260621528,18.375837895371912,4,,2.0,2.8611373251472694,2.8611373251472694,1
2016-17,2017,ATL,DEN,0,0.8572255550638138,18.375837895371912,2,,1.0,-2.756330481450953,2.756330481450953,1
2016-17,2017,ATL,DET,0,0.877549587520882,18.50645970933469,1,,1.0,-1.5623704198347321,1.5623704198347321,1
2016-17,2017,ATL,LAL,0,0.9959358894878712,18.375837895371912,0,,2.0,-0.6204031324405341,0.6204031324405341,1
2016-17,2017,ATL,MIA,0,0.9390715951600302,18.438701451238334,1,,1.0,-0.05828151544551732,0.05828151544551732,1
2016-17,2017,ATL,NOP,0,0.9560220986962313,18.420812145318827,1,,1.0,-4.2701618589902175,4.2701618589902175,1
2016-17,2017,ATL,NYK,0,0.9251368192715007,18.45365153427072,2,,1.0,-0.5734040138145183,0.5734040138145183,1
2016-17,2017,ATL,ORL,0,0.9194174613230495,18.459852898234377,4,,2.0,-1.3962286711392569,1.3962286711392569,1
2016-17,2017,ATL,PHI,1,0.8960359702578174,18.375837895371912,9,,2.0,3.9748013568730043,3.9748013568730043,1
2016-17,2017,ATL,PHX,0,0.8761194347668371,18.375837895371912,1,,2.0,2.404004664827007,2.404004664827007,1
2016-17,2017,ATL,POR,0,0.8546742313553911,18.53287279246101,4,,1.0,-2.4864749785436744,2.4864749785436744,1
2016-17,2017,ATL,SAC,0,0.9929056045858689,18.375837895371912,1,,1.0,-4.643357391550447,4.643357391550447,1
2016-17,2017,BKN,BOS,0,0.8314006025321315,18.35283359801402,4,,-2.0,-4.182711633203666,4.182711633203666,1
2016-17,2017,BOS,DEN,0,0.8771739970775787,18.35283359801402,2,,1.0,-7.238584208117404,7.238584208117404,0
2016-17,2017,BOS,DET,0,0.8575926039358847,18.50645970933469,1,,1.0,-10.466120205535354,10.466120205535354,1
2016-17,2017,BOS,LAL,0,0.9812461767999249,18.371765503961278,0,,2.0,1.080627464841854,1.080627464841854,1
2016-17,2017,BOS,MIA,0,0.9177154955432665,18.438701451238334,1,,1.0,-1.067338160932067,1.067338160932067,1
2016-17,2017,BOS,NOP,0,0.934280515540258,18.420812145318827,1,,1.0,-7.949947339919771,7.949947339919771,1
2016-17,2017,BOS,NYK,0,0.9040976203719416,18.45365153427072,2,,1.0,-7.327873966090541,7.327873966090541,1
2016-17,2017,BOS,ORL,0,0.8985083304382409,18.459852898234377,4,,2.0,-3.584308586908549,3.584308586908549,1
2016-17,2017,BOS,PHI,0,0.9168875670042597,18.35283359801402,9,,2.0,2.8513763124658644,2.8513763124658644,1
2016-17,2017,BOS,PHX,0,0.8965075550676578,18.35283359801402,1,,2.0,-5.003642478390088,5.003642478390088,0
2016-17,2017,BOS,POR,0,0.8352374726260461,18.53287279246101,4,,1.0,-0.7854443812612862,0.7854443812612862,1
2016-17,2017,BOS,SAC,0,0.9842408778681544,18.368718215151095,1,,1.0,0.6357607520623155,0.6357607520623155,0
2016-17,2017,BKN,CHA,0,0.8637151471511764,18.314702326321317,6,,-1.0,0.4021454398167048,0.4021454398167048,1
2016-17,2017,CHA,DEN,0,0.9112676436071816,18.314702326321317,4,,0.0,-2.7177826461133305,2.7177826461133305,1
2016-17,2017,CHA,DET,0,0.8255071246476554,18.50645970933469,1,,0.0,-3.3760315616735395,3.3760315616735395,1
