season,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
2021-22,1610612764,Washington Wizards,82,35,47,0.427,3966.0,3327,7056,860,2512,1393,1778,737,2798,3535,2052,1077.0,522,406,1545,8907,-277.0
2022-23,1610612737,Atlanta Hawks,82,41,41,0.5,3971.0,3658,7574,882,2505,1513,1850,920,2719,3639,2049,1060.0,580,401,1541,9711,24.0
2022-23,1610612738,Boston Celtics,82,57,25,0.695,3996.0,3460,7278,1315,3492,1436,1769,796,2921,3717,2186,1095.0,521,430,1542,9671,535.0
2022-23,1610612751,Brooklyn Nets,82,45,37,0.549,3946.0,3399,6978,1048,2771,1449,1811,674,2648,3322,2093,1127.0,585,506,1730,9295,70.0
2022-23,1610612766,Charlotte Hornets,82,27,55,0.329,3966.0,3385,7413,881,2669,1447,1932,901,2751,3652,2062,1164.0,634,425,1661,9098,-512.0
2022-23,1610612741,Chicago Bulls,82,40,42,0.488,3981.0,3488,7116,854,2367,1446,1788,694,2779,3473,2006,1097.0,644,371,1551,9276,106.0
2022-23,1610612739,Cleveland Cavaliers,82,51,31,0.622,3976.0,3408,6984,950,2589,1439,1844,795,2574,3369,2045,1094.0,586,384,1560,9205,441.0
2022-23,1610612742,Dallas Mavericks,82,38,44,0.463,3986.0,3283,6909,1246,3362,1554,2057,625,2556,3181,1880,1002.0,514,304,1697,9366,6.0
2022-23,1610612743,Denver Nuggets,82,53,29,0.646,3951.0,3574,7088,969,2559,1378,1834,828,2699,3527,2368,1192.0,618,368,1525,9495,273.0
2022-23,1610612765,Detroit Pistons,82,17,65,0.207,3961.0,3244,7140,934,2659,1623,2106,916,2564,3480,1884,1237.0,574,308,1813,9045,-674.0
2022-23,1610612744,Golden State Warriors,82,44,38,0.537,3966.0,3538,7393,1363,3540,1314,1655,864,2793,3657,2446,1336.0,588,324,1756,9753,148.0
2022-23,1610612745,Houston Rockets,82,22,60,0.268,3951.0,3329,7287,856,2619,1567,2078,1100,2695,3795,1835,1332.0,600,374,1679,9081,-644.0
2022-23,1610612754,Indiana Pacers,82,35,47,0.427,3951.0,3444,7345,1112,3030,1535,1944,832,2575,3407,2213,1224.0,631,478,1741,9535,-261.0
2022-23,1610612746,LA Clippers,82,44,38,0.537,3966.0,3370,7060,1041,2734,1533,1962,803,2742,3545,1959,1167.0,580,364,1598,9314,41.0
2022-23,1610612747,Los Angeles Lakers,82,43,39,0.524,3976.0,3516,7298,885,2558,1691,2182,818,2930,3748,2072,1154.0,526,378,1466,9608,47.0
2022-23,1610612763,Memphis Grizzlies,82,51,31,0.622,3956.0,3585,7551,985,2807,1432,1954,988,2835,3823,2135,1116.0,680,473,1643,9587,323.0
2022-23,1610612748,Miami Heat,82,44,38,0.537,3961.0,3215,6991,980,2852,1567,1885,796,2533,3329,1955,1106.0,655,243,1516,8977,-26.0
2022-23,1610612749,Milwaukee Bucks,82,58,24,0.707,3966.0,3504,7411,1217,3306,1364,1837,914,3074,3988,2115,1199.0,521,403,1481,9589,298.0
2022-23,1610612750,Minnesota Timberwolves,82,42,40,0.512,3966.0,3515,7167,997,2731,1467,1942,749,2686,3435,2145,1258.0,657,444,1768,9494,-3.0
2022-23,1610612740,New Orleans Pelicans,82,42,40,0.512,3971.0,3447,7180,899,2468,1585,2000,866,2717,3583,2122,1196.0,681,337,1678,9378,155.0
2022-23,1610612752,New York Knicks,82,47,35,0.573,3991.0,3444,7328,1037,2930,1589,2087,1031,2790,3821,1880,1065.0,527,340,1666,9514,240.0
2022-23,1610612760,Oklahoma City Thunder,82,40,42,0.488,3971.0,3533,7590,995,2797,1572,1944,934,2646,3580,2002,1070.0,676,341,1722,9633,89.0
2022-23,1610612753,Orlando Magic,82,34,48,0.415,3956.0,3323,7074,883,2551,1607,2050,833,2713,3546,1906,1236.0,603,382,1652,9136,-210.0
2022-23,1610612755,Philadelphia 76ers,82,54,28,0.659,3976.0,3347,6870,1035,2675,1719,2058,715,2641,3356,2063,1121.0,635,389,1675,9448,354.0
2022-23,1610612756,Phoenix Suns,82,45,37,0.549,3956.0,3453,7388,1001,2674,1412,1781,971,2657,3628,2235,1110.0,585,432,1739,9319,170.0
2022-23,1610612757,Portland Trail Blazers,82,33,49,0.402,3946.0,3317,7001,1056,2893,1609,2021,774,2551,3325,1981,1185.0,553,376,1643,9299,-329.0
2022-23,1610612758,Sacramento Kings,82,48,34,0.585,3966.0,3573,7232,1128,3060,1624,2055,782,2699,3481,2237,1106.0,574,275,1616,9898,217.0
2022-23,1610612759,San Antonio Spurs,82,22,60,0.268,3971.0,3533,7593,911,2640,1292,1739,965,2619,3584,2232,1253.0,572,322,1630,9269,-823.0
2022-23,1610612761,Toronto Raptors,82,41,41,0.5,3961.0,3434,7489,880,2626,1506,1922,1043,2485,3528,1961,956.0,772,424,1641,9254,121.0
2022-23,1610612762,Utah Jazz,82,37,45,0.451,3961.0,3485,7365,1094,3099,1536,1955,968,2794,3762,2129,1259.0,500,429,1679,9600,-77.0
2022-23,1610612764,Washington Wizards,82,35,47,0.427,3951.0,3456,7127,925,2601,1442,1838,774,2804,3578,2083,1158.0,561,424,1539,9279,-99.0
2023-24,1610612737,Atlanta Hawks,82,36,46,0.439,3971.0,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0
2023-24,1610612738,Boston Celtics,82,64,18,0.78,3966.0,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0
2023-24,1610612751,Brooklyn Nets,82,32,50,0.39,3961.0,3334,7307,1089,3010,1293,1711,938,2675,3613,2102,1076.0,556,424,1516,9050,-237.0
2023-24,1610612766,Charlotte Hornets,82,21,61,0.256,3946.0,3281,7133,989,2788,1189,1512,765,2538,3303,2033,1129.0,562,371,1472,8740,-840.0
2023-24,1610612741,Chicago Bulls,82,39,43,0.476,3996.0,3448,7339,941,2630,1369,1731,916,2677,3593,2048,1004.0,638,394,1541,9206,-118.0
2023-24,1610612739,Cleveland Cavaliers,82,48,34,0.585,3961.0,3425,7147,1108,3016,1278,1671,807,2742,3549,2299,1112.0,605,380,1436,9236,198.0
2023-24,1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,3535,7352,1197,3242,1397,1842,797,2724,3521,2106,1027.0,563,406,1500,9664,181.0
2023-24,1610612743,Denver Nuggets,82,57,25,0.695,3941.0,3610,7279,958,2560,1240,1628,881,2762,3643,2415,1036.0,585,456,1489,9418,431.0
2023-24,1610612765,Detroit Pistons,82,14,68,0.171,3951.0,3353,7236,906,2602,1398,1780,861,2692,3553,2088,1248.0,531,384,1688,9010,-747.0
2023-24,1610612744,Golden State Warriors,82,46,36,0.561,3966.0,3582,7515,1211,3191,1282,1644,996,2834,3830,2402,1174.0,572,377,1598,9657,214.0
2023-24,1610612745,Houston Rockets,82,41,41,0.5,3971.0,3425,7459,1043,2964,1482,1916,940,2787,3727,2035,1045.0,639,375,1702,9375,92.0
2023-24,1610612754,Indiana Pacers,82,47,35,0.573,3941.0,3855,7599,1082,2891,1318,1685,827,2578,3405,2522,1059.0,631,481,1756,10110,250.0
2023-24,1610612746,LA Clippers,82,51,31,0.622,3941.0,3473,7108,1036,2719,1499,1817,822,2701,3523,2097,1078.0,640,413,1519,9481,269.0
2023-24,1610612747,Los Angeles Lakers,82,47,35,0.573,3971.0,3580,7177,969,2572,1550,1983,676,2859,3535,2340,1146.0,605,453,1283,9679,49.0
2023-24,1610612763,Memphis Grizzlies,82,27,55,0.329,3956.0,3145,7229,1071,3097,1316,1722,896,2598,3494,2025,1236.0,673,501,1563,8677,-574.0
2023-24,1610612748,Miami Heat,82,46,36,0.561,3951.0,3266,7022,1022,2765,1478,1806,766,2702,3468,2116,1038.0,617,280,1415,9032,144.0
2023-24,1610612749,Milwaukee Bucks,82,49,33,0.598,3961.0,3538,7258,1163,3122,1517,1960,772,2850,3622,2176,1059.0,558,413,1574,9756,215.0
2023-24,1610612750,Minnesota Timberwolves,82,56,26,0.683,3961.0,3383,6974,1037,2681,1461,1881,770,2807,3577,2184,1162.0,647,497,1544,9264,529.0
2023-24,1610612740,New Orleans Pelicans,82,49,33,0.598,3941.0,3484,7165,1023,2673,1445,1873,852,2753,3605,2210,1067.0,684,378,1508,9436,362.0
2023-24,1610612752,New York Knicks,82,50,32,0.61,3946.0,3385,7272,1083,2936,1396,1789,1039,2665,3704,1998,1085.0,612,336,1447,9249,376.0
2023-24,1610612760,Oklahoma City Thunder,82,57,25,0.695,3961.0,3653,7324,1090,2805,1451,1759,722,2725,3447,2223,1039.0,694,538,1545,9847,608.0
2023-24,1610612753,Orlando Magic,82,47,35,0.573,3956.0,3318,6964,903,2568,1519,2002,861,2608,3469,2023,1206.0,669,423,1618,9058,166.0
2023-24,1610612755,Philadelphia 76ers,82,47,35,0.573,3956.0,3404,7331,992,2733,1597,1934,906,2616,3522,2041,984.0,694,492,1668,9397,250.0
2023-24,1610612756,Phoenix Suns,82,49,33,0.598,3956.0,3482,7063,1020,2671,1548,1915,831,2783,3614,2218,1221.0,610,492,1475,9532,251.0
2023-24,1610612757,Portland Trail Blazers,82,21,61,0.256,3976.0,3227,7356,939,2723,1329,1680,1036,2469,3505,1894,1249.0,627,354,1654,8722,-740.0
2023-24,1610612758,Sacramento Kings,82,46,36,0.561,3971.0,3553,7455,1178,3219,1274,1710,888,2719,3607,2324,1078.0,625,342,1632,9558,143.0
2023-24,1610612759,San Antonio Spurs,82,22,60,0.268,3966.0,3438,7436,1036,2983,1280,1637,849,2778,3627,2449,1242.0,584,520,1414,9192,-532.0
2023-24,1610612761,Toronto Raptors,82,25,57,0.305,3961.0,3466,7356,942,2712,1339,1772,891,2607,3498,2335,1147.0,634,388,1509,9213,-528.0
2023-24,1610612762,Utah Jazz,82,31,51,0.378,3961.0,3443,7371,1060,2993,1538,1853,1002,2725,3727,2232,1285.0,537,458,1523,9484,-401.0
2023-24,1610612764,Washington Wizards,82,15,67,0.183,3946.0,3523,7493,1015,2915,1266,1657,755,2613,3368,2290,1147.0,623,415,1637,9327,-762.0
2024-25,1610612737,Atlanta Hawks,82,40,42,0.488,3956.0,3556,7528,1107,3089,1472,1900,974,2675,3649,2426,1273.0,798,419,1564,9691,-93.0
2024-25,1610612738,Boston Celtics,82,61,21,0.744,3966.0,3413,7382,1457,3955,1251,1565,933,2783,3716,2144,973.0,589,452,1303,9534,747.0
2024-25,1610612751,Brooklyn Nets,82,26,56,0.317,3956.0,3086,7060,1113,3232,1334,1696,894,2493,3387,2063,1244.0,639,352,1698,8619,-583.0
2024-25,1610612766,Charlotte Hornets,82,19,63,0.232,3951.0,3142,7308,1065,3143,1269,1621,1003,2703,3706,1994,1271.0,607,368,1535,8618,-747.0
2024-25,1610612741,Chicago Bulls,82,39,43,0.476,3951.0,3543,7545,1266,3447,1308,1617,825,2935,3760,2383,1203.0,621,386,1444,9660,-128.0
2024-25,1610612739,Cleveland Cavaliers,82,64,18,0.78,3951.0,3652,7444,1303,3401,1392,1793,917,2806,3723,2304,1082.0,670,350,1487,9999,782.0
2024-25,1610612742,Dallas Mavericks,82,39,43,0.476,3946.0,3443,7194,1020,2801,1458,1894,828,2702,3530,2070,1151.0,636,445,1458,9364,-98.0
2024-25,1610612743,Denver Nuggets,82,50,32,0.61,3971.0,3724,7360,984,2619,1470,1909,919,2832,3751,2542,1169.0,656,402,1444,9902,319.0
2024-25,1610612765,Detroit Pistons,82,44,38,0.537,3961.0,3503,7363,1051,2901,1414,1826,931,2739,3670,2165,1219.0,652,431,1695,9471,156.0
2024-25,1610612744,Golden State Warriors,82,48,34,0.585,3946.0,3342,7412,1264,3475,1383,1811,1029,2692,3721,2386,1152.0,771,391,1571,9331,271.0
2024-25,1610612745,Houston Rockets,82,52,30,0.634,3956.0,3484,7659,1038,2938,1366,1851,1200,2774,3974,1914,1139.0,689,411,1557,9372,370.0
2024-25,1610612754,Indiana Pacers,82,50,32,0.61,3971.0,3574,7326,1081,2934,1395,1768,752,2678,3430,2398,1082.0,694,448,1533,9624,183.0
2024-25,1610612746,LA Clippers,82,50,32,0.61,3961.0,3409,7075,1022,2738,1416,1776,841,2750,3591,2064,1220.0,773,370,1503,9256,382.0
2024-25,1610612747,Los Angeles Lakers,82,50,32,0.61,3946.0,3356,7007,1092,2981,1494,1902,792,2687,3479,2131,1145.0,633,367,1415,9298,100.0
2024-25,1610612763,Memphis Grizzlies,82,48,34,0.585,3941.0,3670,7654,1141,3106,1499,1908,1056,2819,3875,2330,1285.0,726,462,1711,9980,398.0
2024-25,1610612748,Miami Heat,82,37,45,0.451,3986.0,3318,7138,1124,3060,1309,1654,798,2760,3558,2166,1114.0,668,314,1275,9069,46.0
2024-25,1610612749,Milwaukee Bucks,82,48,34,0.585,3951.0,3445,7082,1161,3003,1421,1895,674,2882,3556,2090,1097.0,601,384,1469,9472,203.0
2024-25,1610612750,Minnesota Timberwolves,82,49,33,0.598,3966.0,3364,7182,1233,3269,1411,1789,908,2726,3634,2142,1186.0,654,406,1498,9372,410.0
2024-25,1610612740,New Orleans Pelicans,82,21,61,0.256,3951.0,3332,7368,986,2839,1356,1799,993,2583,3576,2119,1201.0,701,429,1499,9006,-773.0
2024-25,1610612752,New York Knicks,82,51,31,0.622,3976.0,3553,7315,1031,2794,1357,1696,890,2607,3497,2254,1088.0,671,324,1407,9494,336.0
2024-25,1610612760,Oklahoma City Thunder,82,68,14,0.829,3941.0,3660,7600,1192,3184,1369,1672,871,2801,3672,2202,961.0,847,465,1631,9881,1055.0
2024-25,1610612753,Orlando Magic,82,41,41,0.5,3946.0,3130,7034,921,2892,1464,1890,914,2517,3431,1887,1165.0,729,488,1648,8645,-10.0
2024-25,1610612755,Philadelphia 76ers,82,24,58,0.293,3961.0,3254,7168,1041,3050,1439,1844,852,2411,3263,1901,1117.0,752,366,1556,8988,-511.0
2024-25,1610612756,Phoenix Suns,82,36,46,0.439,3966.0,3381,7075,1176,3112,1379,1702,783,2701,3484,2277,1153.0,593,392,1471,9317,-246.0
2024-25,1610612757,Portland Trail Blazers,82,36,46,0.439,3956.0,3325,7396,1057,3095,1386,1820,1095,2576,3671,1952,1309.0,678,433,1558,9093,-244.0
2024-25,1610612758,Sacramento Kings,82,40,42,0.488,3976.0,3529,7385,1032,2887,1400,1738,901,2723,3624,2169,1092.0,620,357,1548,9490,39.0
2024-25,1610612759,San Antonio Spurs,82,34,48,0.415,3946.0,3426,7362,1158,3246,1332,1721,896,2685,3581,2348,1138.0,674,455,1363,9342,-226.0
2024-25,1610612761,Toronto Raptors,82,30,52,0.366,3961.0,3414,7462,969,2786,1294,1729,1034,2666,3700,2340,1257.0,664,348,1738,9091,-352.0
2024-25,1610612762,Utah Jazz,82,17,65,0.207,3961.0,3305,7272,1144,3267,1421,1836,983,2741,3724,2093,1412.0,555,360,1549,9175,-766.0
2024-25,1610612764,Washington Wizards,82,18,64,0.22,3946.0,3233,7371,1075,3210,1315,1690,867,2716,3583,2058,1276.0,623,420,1618,8856,-1020.0
