feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/articles/darryn-peterson-shock-nba-050451760.html,Darryn Peterson is about to shock the NBA,Darryn Peterson has a chance to have an incredible season,2026-09-22T05:04:51+00:00,2026-09-22T08:32:12.950072+00:00
yahoo-nba,https://sports.yahoo.com/articles/malachi-smith-signs-two-way-031813528.html,Malachi Smith Signs Two-Way Contract With Toronto Raptors,The second Zag in two days to have their contract converted into a two-way.,2026-09-22T03:18:13+00:00,2026-09-22T08:32:12.950072+00:00
yahoo-nba,https://sports.yahoo.com/articles/doc-rivers-absolutely-done-coaching-024107189.html,Doc Rivers ‘absolutely’ done with coaching as he turns back to broadcasting with NBC,"Rivers’ coaching career spanned nine seasons with the Celtics, where he led the team to an NBA title in 2008, along with time coaching the Clippers, Sixers and Bucks.",2026-09-22T02:41:07+00:00,2026-09-22T08:32:12.950072+00:00
yahoo-nba,https://sports.yahoo.com/articles/bucks-reportedly-show-interest-star-014215180.html,Bucks reportedly show interest in All-Star center,Big news out of the Motor City.,2026-09-22T01:42:15+00:00,2026-09-22T08:32:12.950072+00:00
yahoo-nba,https://sports.yahoo.com/articles/knicks-mike-brown-replay-challenge-013311001.html,Knicks have Mike Brown’s new replay ‘challenge guy’ after Jordan Brink left for Bulls,"Jordan Brink held that job for the Knicks the past two seasons, challenging at an impressive success rate while helping win Game 2 of the NBA Finals with a momentum-shifting challenge.",2026-09-22T01:33:11+00:00,2026-09-22T08:32:12.950072+00:00
yahoo-nba,https://sports.yahoo.com/articles/biggest-surprises-spurs-villain-tournament-001525596.html,The biggest surprises of the Spurs Villain Tournament,"The tournament is done, so here’s a look at the biggest upsets and some predictions about future villains.",2026-09-22T00:15:25+00:00,2026-09-22T08:32:12.950072+00:00
yahoo-nba,https://sports.yahoo.com/nba/article/pistons-reportedly-increase-contract-offer-for-restricted-free-agent-jalen-duren-to-5-years-200-million-000349652.html,"Pistons reportedly increase contract offer for restricted free agent Jalen Duren to 5 years, $200 million","Duren has declined Detroit&#39;s offers previously, seeking the max contract extension for which he became eligible after earning Third Team All-NBA honors.",2026-09-22T00:03:49+00:00,2026-09-22T08:32:12.950072+00:00
yahoo-nba,https://sports.yahoo.com/articles/suns-projected-numbers-reveal-few-000000790.html,The Suns’ projected numbers reveal a few interesting surprises,"The projections aren’t predictions, but they offer an interesting snapshot of how the individual pieces could produce.",2026-09-22T00:00:00+00:00,2026-09-22T08:32:12.950072+00:00
__poll__,poll://2026-09-22/2026-09-22T08:32:12.950072+00:00,"poll ran: 1/3 feeds reachable, 21 item(s) appended",,2026-09-22,2026-09-22T08:32:12.950072+00:00
