feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/articles/knicks-domino-effects-julius-randle-013230083.html,Knicks Domino Effects: What if Julius Randle never gets injured?,A moment that could’ve meant nothing… or everything to the last few years of Knicks basketball.,2026-08-09T01:32:30+00:00,2026-08-09T04:36:35.255703+00:00
__poll__,poll://2026-08-09/2026-08-09T04:36:35.255703+00:00,"poll ran: 1/3 feeds reachable, 4 item(s) appended",,2026-08-09,2026-08-09T04:36:35.255703+00:00
yahoo-nba,https://sports.yahoo.com/articles/past-examples-sports-could-influence-123100095.html,How past examples in sports could influence the Kawhi Leonard saga,Leagues that have previously navigated salary circumvention may offer clues about how the Kawhi Leonard debacle ends.,2026-08-09T12:31:00+00:00,2026-08-09T15:46:19.844630+00:00
yahoo-nba,https://sports.yahoo.com/articles/norm-sometimes-wanna-where-not-120639281.html,"Norm, sometimes you wanna go where not everybody knows your name",The anti-Cheers sentiment.,2026-08-09T12:06:39+00:00,2026-08-09T15:46:19.844630+00:00
yahoo-nba,https://sports.yahoo.com/articles/open-thread-nba-rule-change-110000130.html,Open Thread: NBA’s rule change on buzzer beaters yields increase in attempts,"Now that players averages are not affected by the heaves, they are free to let it fly",2026-08-09T11:00:00+00:00,2026-08-09T15:46:19.844630+00:00
yahoo-nba,https://sports.yahoo.com/articles/infuriatingly-perfect-alex-sarr-statistical-110000811.html,The infuriatingly perfect Alex Sarr statistical doppelgängers,"It’s August, which means it’s time for the annual statistical doppelgänger series. Refresher: over the next few weeks, I’ll be running Wizards players through an algorithm built atop a database of every player season from 1977-78 to present. The algorithm compares players across 14 statistical categories and determines which player seasons from NBA history are […]",2026-08-09T11:00:00+00:00,2026-08-09T15:46:19.844630+00:00
yahoo-nba,https://sports.yahoo.com/articles/sunday-posted-toasted-notes-tired-100458480.html,"Sunday Posted & Toasted Notes: Tired OG, rookie deals, no third big","Nearly a week to put together a large enough amount of links and notes; that’s how it goes… “I was dealing with a lot. I was super depressed. My dad was rushed to the hospital, and my dad passed away while I was on the court. And then my dad died, then my coach died […]",2026-08-09T10:04:58+00:00,2026-08-09T15:46:19.844630+00:00
yahoo-nba,https://sports.yahoo.com/articles/jazz-fan-survey-results-jazz-041714940.html,Jazz fan survey results: What Jazz fans think is possible,Jazz fans let us know what think is most possible this season,2026-08-09T04:17:14+00:00,2026-08-09T15:46:19.844630+00:00
yahoo-nba,https://sports.yahoo.com/articles/dillon-brooks-still-talking-lakers-032400232.html,Dillon Brooks is still talking about the Lakers,"Despite LeBron James leaving this offseason, Dillon Brooks is still talking about the Lakers.",2026-08-09T03:24:00+00:00,2026-08-09T15:46:19.844630+00:00
__poll__,poll://2026-08-09/2026-08-09T15:46:19.844630+00:00,"poll ran: 1/3 feeds reachable, 7 item(s) appended",,2026-08-09,2026-08-09T15:46:19.844630+00:00
