feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/articles/nike-may-just-debuted-worst-054404152.html,Nike may have just debuted the worst Lakers jerseys ever,The newest Lakers jersey may be the worst one yet.,2026-09-10T05:44:04+00:00,2026-09-10T08:07:26.090125+00:00
yahoo-nba,https://sports.yahoo.com/articles/donald-trump-says-mavericks-luka-043741996.html,Donald Trump says Mavericks&#39; Luka Doncic trade among worst deals in the history of sports,"President Donald Trump held an event Wednesday at the American Airlines Center in Dallas, home of the Mavericks. He weighed in on 2025&#39;s Luka Doncic trade.",2026-09-10T04:37:41+00:00,2026-09-10T08:07:26.090125+00:00
yahoo-nba,https://sports.yahoo.com/articles/keyonte-george-sun-among-stars-021039685.html,Keyonte George: Sun among the stars or a radiant supernova?,It’s time we contemplate our place in the universe.,2026-09-10T02:10:39+00:00,2026-09-10T08:07:26.090125+00:00
yahoo-nba,https://sports.yahoo.com/articles/lakers-release-dazzling-specter-jerseys-013336083.html,Lakers release new dazzling ‘specter’ jerseys,The Los Angeles Lakers will have a bold new look next season.,2026-09-10T01:33:36+00:00,2026-09-10T08:07:26.090125+00:00
yahoo-nba,https://sports.yahoo.com/articles/lakers-poach-long-time-heat-004151219.html,Lakers poach long-time Heat executive Eric Amsler to be assistant GM,The franchise&#39;s sale is not stopping the expansion of the Lakers&#39; scouting and analytics operations.,2026-09-10T00:41:51+00:00,2026-09-10T08:07:26.090125+00:00
__poll__,poll://2026-09-10/2026-09-10T08:07:26.090125+00:00,"poll ran: 1/3 feeds reachable, 18 item(s) appended",,2026-09-10,2026-09-10T08:07:26.090125+00:00
yahoo-nba,https://sports.yahoo.com/articles/nike-newest-nba-alternate-jerseys-180812474.html,Nike’s newest NBA alternate jerseys are getting roasted by everyone,Nike newest NBA uniforms are another big whiff﻿,2026-09-10T18:08:12+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/nba-offseason-news-rumors-2026-171541755.html,"NBA Offseason News/Rumors 2026: Jalen Duren seriously considering qualifying offer, Ben Simmons contract",Would Jalen Duren really take the risk of leaving generational wealth on the table in this situation?,2026-09-10T17:15:41+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/mike-d-antoni-says-steve-161438790.html,Mike D’Antoni says Steve Nash was the reason he took the Lakers job,Reuniting with his former star guard drove D’Antoni’s decision to join LA,2026-09-10T16:14:38+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/nba/article/breaking-down-lebrons-sixers-lukas-lakers-and-the-biggest-swings-of-the-nba-offseason-160802353.html,"Breaking down LeBron&#39;s Sixers, Luka&#39;s Lakers and the biggest swings of the NBA offseason","With training camp getting closer and closer, let&#39;s break down a few teams that tried to put themselves in position to get closer to a title.",2026-09-10T16:08:02+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/season-break-bronny-james-152400052.html,Is this season a make-or-break year for Bronny James?,"Perhaps liberated from playing with his father, Bronny James will have to prove himself this season for the Lakers.",2026-09-10T15:24:00+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/raptors-legend-chris-paul-continues-150625358.html,Raptors legend Chris Paul continues to be disrespected by Los Angeles Clippers,"As Los Angeles enters a spiral of unpopularity, they seem to be doing nothing to claw their way out",2026-09-10T15:06:25+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/nba-superstar-jaylen-brown-takes-150000552.html,NBA superstar Jaylen Brown takes boxing match in Nigeria with zero prep,NBA star Jaylen Brown looked the part when he boxed in Nigeria.,2026-09-10T15:00:00+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/ramp-camp-version-derrick-white-140205384.html,Ramp to Camp: What version of Derrick White will Celtics get this season?,"White struggled to shoot at an efficient rate last season, but he was still elite defensively.",2026-09-10T14:02:05+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/look-sixers-bring-mad-scientist-135544937.html,Will the new-look Sixers bring out the ‘mad scientist’ Nick Nurse?,Nick Nurse came to the Sixers with the reputation as a &quot;mad scientist.&quot; It&#39;s time for him to let his freak flag fly.,2026-09-10T13:55:44+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/sixers-pre-camp-questions-sixers-130515480.html,Sixers pre-camp questions: Will Sixers be healthy when it matters most?,How will the 2026-27 Sixers hold up on the health front?,2026-09-10T13:05:15+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/move-over-phil-jackson-time-130000068.html,"Move over, Phil Jackson. It’s time for Lakers to honor Jerry Buss with overdue honor","Following Phil Jackson&#39;s statue news, the Lakers must honor late owner Dr. Jerry Buss, who led the franchise to 10 NBA championships.",2026-09-10T13:00:00+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/submit-hot-takes-pindown-detroit-122018142.html,Submit your hot takes for The Pindown: A Detroit Pistons Podcast,"Send in your questions hot takes and predictions for this week’s episode of The Pindown: A Detroit Pistons Podcast to discuss everything Pistons. Submit your take in the comments section here or on Twitter to @TheRealWesD3 and/or @RobbieBettelon. If you’re on BlueSky, you can also send to @RobbieBettelon.bksy.social. Join us live on Friday night as Wes and Robbie give their […]",2026-09-10T12:20:18+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/plays-projecting-mavericks-rotation-start-120100022.html,Who Plays? Projecting the Mavericks’ rotation to start the season,The Dallas Mavericks’ rotation will look a lot different in 2026-27 than it did last year. Get excited.,2026-09-10T12:01:00+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/player-preview-cj-huntley-waiting-120000171.html,Player Preview: CJ Huntley is waiting for his chance to matter,Last year’s G-League work foreshadowed abilities that could help the Suns this season.,2026-09-10T12:00:00+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/ranking-roster-baaack-120000140.html,Ranking the Roster: It’s baaack!,The annual tradition lives on!,2026-09-10T12:00:00+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/nba-anthony-edwards-history-point-120000049.html,NBA: Anthony Edwards History of Point Guards,Each point guard Edwards has played with has imparted wisdom. What has he learned and what is next alongside LaMelo Ball?,2026-09-10T12:00:00+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/wizards-deep-110000422.html,Are the Wizards deep?,"Multiple times this summer, I’ve heard it claimed by fans, pundits, and current/former coaches, players, and front office types that the Wizards are deep. My instinctual reaction is skepticism. I delved into statistical analysis in part because so much of what I heard from the “experts” on TV when I was a kid didn’t seem […]",2026-09-10T11:00:00+00:00,2026-09-10T18:27:58.334966+00:00
yahoo-nba,https://sports.yahoo.com/articles/cavs-bench-problem-110000360.html,The Cavs have a bench problem,"After cutting salary and losing guys to free agency, the Cavs’ bench is even thinner.",2026-09-10T11:00:00+00:00,2026-09-10T18:27:58.334966+00:00
