feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/articles/dennis-schr-der-now-traded-023626409.html,Dennis Schröder has now been traded 9 times. Is that the NBA record?,"Dennis Schroder has now been traded nine times in his NBA career, but one player has still been moved more.",2026-08-15T02:36:26+00:00,2026-08-15T03:54:14.038350+00:00
yahoo-nba,https://sports.yahoo.com/articles/nba-offseason-news-trade-free-002840404.html,NBA Offseason News/Trade/Free Agent Rumors 2026: Klay Thompson to a contender? Curry extension.,"Also, is Cleveland now closer to making a Peyton Watson offer?",2026-08-15T00:28:40+00:00,2026-08-15T03:54:14.038350+00:00
yahoo-nba,https://sports.yahoo.com/articles/inside-lakers-mega-deal-mark-001230486.html,"Inside Lakers mega-deal: Mark Walter made a shocking decision. Bob Iger, Joshua Kushner jumped at the chance",The lightning-quick sale of the Lakers to Bob Iger and Joshua Kushner comes as Mark Walter faces federal probes into allegedly conflicted insurance loans.,2026-08-15T00:12:30+00:00,2026-08-15T03:54:14.038350+00:00
__poll__,poll://2026-08-15/2026-08-15T03:54:14.038350+00:00,"poll ran: 1/3 feeds reachable, 38 item(s) appended",,2026-08-15,2026-08-15T03:54:14.038350+00:00
yahoo-nba,https://sports.yahoo.com/articles/charles-oakleys-assault-case-against-134059745.html,Charles Oakley&#39;s assault case against Madison Square Garden dismissed,"A federal judge threw out a lawsuit from Charles Oakley, saying the former NBA player did not prove he was assaulted during a 2017 game.",2026-08-15T13:40:59+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/ranking-10-best-games-cavs-120000278.html,Ranking the 10 best games on the Cavs schedule,The NBA has given the Cavs an interesting first few weeks of the season.,2026-08-15T12:00:00+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/6-nba-teams-screwed-over-120000497.html,6 NBA teams screwed over by the schedule release,The idea of playing a balanced schedule is a rarity in American professional sports. An NFL team that finishes in first place in their division one year draws other first-place teams on the schedule the next year. NHL calendars lean heavily on divisional matchups and regional rivalries. MLB moved to a more balanced schedule in […],2026-08-15T12:00:00+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/put-tom-chambers-hall-120000381.html,Put Tom Chambers in the Hall!!!,"The numbers make a compelling case, but Chambers’ role in changing NBA free agency makes it even stronger.",2026-08-15T12:00:00+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/open-thread-spurs-draftees-supported-110000844.html,Open Thread: Spurs Draftees supported fifth annual Back to School Bash,Local patrons were given school supplies as well as health and wellness screenings,2026-08-15T11:00:00+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/letters-sports-lakers-sale-iger-110000305.html,Letters to Sports: Lakers sale to Iger and Kushner is talk of L.A.,"Readers of the Los Angeles Times Sports section share their thoughts on the Lakers&#39; sale to Bob Iger and Joshua Kushner, the WNBA, Dodgers and more.",2026-08-15T11:00:00+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/sb-nation-reacts-thanks-no-102600875.html,"SB Nation Reacts: thanks but no thanks, Ben Simmons",Our readers pass up on a shot to grab the former #1 pick.,2026-08-15T10:26:00+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/watch-2026-naismith-basketball-hall-101604241.html,How to watch the 2026 Naismith Basketball Hall of Fame induction ceremony,"Basketball’s Hall of Fame opens its doors. The chosen few enter with drop steps and post spins. These latest additions to Springfield range from the fiery rim-running of Amar’e Stoudemire to the dexterous grace of Candace Parker. Saturday’s proceedings show love to MVPs, gold medalists, head coaches and even one referee. Here’s what fans of the game need to know ahead of the momentous occasion. How to watch the 2026 Naismith Basketball Hall of Fame induction ceremony Venue: Symphony Hall — Sprin",2026-08-15T10:16:04+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/saturday-posted-toasted-notes-scheduling-081027023.html,"Saturday Posted & Toasted Notes: Scheduling, Angeleno sale, Hall of Fame","Not an impressively overloaded post, but one with some spicy topics. “But agreeing to an extension now would deprive the Knicks of one of their best trade assets, given McBride’s age, production, low salary and walk-year status. If they want to make a midseason trade to reinforce other areas of need, McBride would be one […]",2026-08-15T08:10:27+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/videos/jordan-horston-top-points-vs-041022452.html,,,2026-08-15T15:29:05+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/jazz-reacts-excited-jazz-fans-040208597.html,Jazz Reacts: Here’s how excited Jazz fans are for this season,Jazz fans are excited for the upcoming season!,2026-08-15T04:02:08+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/charles-oakley-case-against-msg-031243955.html,Charles Oakley’s case against MSG gets dismissed for third time in latest twist to years-long legal drama,MSG said in a statement that the claims were dismissed by the court “in their entirety.”,2026-08-15T03:12:43+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/tyrese-haliburton-shocked-opening-night-024749983.html,Tyrese Haliburton ‘shocked’ by opening night matchup in return from Achilles tear,Tyrese Haliburton thinks his return should be a bigger deal.,2026-08-15T02:47:49+00:00,2026-08-15T15:34:36.817766+00:00
yahoo-nba,https://sports.yahoo.com/articles/chris-paul-joining-lakers-ironic-012718792.html,Chris Paul joining Lakers would be ironic next chapter of his NBA life,"chris paul bob iger split screen imageToward the end of his conversation with the California Post on Wednesday, soon-to-be Lakers co-owner Bob Iger had a clear message after he and business partner...",2026-08-15T01:27:18+00:00,2026-08-15T15:34:36.817766+00:00
__poll__,poll://2026-08-15/2026-08-15T15:34:36.817766+00:00,"poll ran: 1/3 feeds reachable, 15 item(s) appended",,2026-08-15,2026-08-15T15:34:36.817766+00:00
