feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/collectibles/article/lebron-james-kobe-bryant-1-of-1-autographed-jersey-patch-card-goes-to-auction-after-sitting-in-private-collection-for-nearly-20-years-012856850.html,LeBron James-Kobe Bryant 1-of-1 autographed jersey patch card goes to auction after sitting in private collection for nearly 20 years,A Kobe-Michael Jordan card from the same 2007-08 Upper Deck set sold for a record $12.93 million in August 2025,2026-09-05T01:28:56+00:00,2026-09-05T07:39:45.814996+00:00
yahoo-nba,https://sports.yahoo.com/articles/nets-bring-back-7-footer-012851218.html,Nets bring back 7-footer Grant Nelson on two-way deal,The Nets signed the 24-year-old Nelson to the last of its three two-way spots.,2026-09-05T01:28:51+00:00,2026-09-05T07:39:45.814996+00:00
yahoo-nba,https://sports.yahoo.com/articles/happened-ben-simmons-complete-career-012152604.html,What happened to Ben Simmons? Complete career timeline,The Sacramento Kings and Ben Simmons agree to a one-year deal. Here&#39;s a look back at Simmons&#39; career in the NBA.,2026-09-05T01:21:52+00:00,2026-09-05T07:39:45.814996+00:00
yahoo-nba,https://sports.yahoo.com/articles/warriors-were-interested-ben-simmons-001105175.html,Warriors were interested in Ben Simmons before he signed with Kings,Professional fisherman Ben Simmons will be moonlighting as a Sacramento King next season.,2026-09-05T00:11:05+00:00,2026-09-05T07:39:45.814996+00:00
__poll__,poll://2026-09-05/2026-09-05T07:39:45.814996+00:00,"poll ran: 1/3 feeds reachable, 26 item(s) appended",,2026-09-05,2026-09-05T07:39:45.814996+00:00
yahoo-nba,https://sports.yahoo.com/articles/second-bidder-steps-seattle-expansion-164243710.html,"Second bidder steps up for Seattle expansion team, wants to build new arena outside city",BlackSun Private Equity is partnering with the Tulalip Tribes to build the arena on tribal-owned land.,2026-09-05T16:42:43+00:00,2026-09-05T17:20:51.882328+00:00
yahoo-nba,https://sports.yahoo.com/articles/lakers-marquee-addition-walker-kessler-120000126.html,How Lakers will make marquee addition of Walker Kessler worth it,"As Walker Kessler walked onto UNIQLO Field at Dodger Stadium on Thursday night, he stepped into the biggest spotlight he’s been under recently. And as the Lakers’ marquee addition of...",2026-09-05T12:00:00+00:00,2026-09-05T17:20:51.882328+00:00
yahoo-nba,https://sports.yahoo.com/articles/hawks-reacts-survey-results-grade-120000393.html,Hawks Reacts Survey Results: what grade did you give the offseason?,Two-thirds of you agreed.,2026-09-05T12:00:00+00:00,2026-09-05T17:20:51.882328+00:00
yahoo-nba,https://sports.yahoo.com/articles/inside-suns-starting-green-gillespie-120000497.html,"Inside the Suns: Starting Green or Gillespie, grading the Suns’ front office, Durant comments",Your weekly Inside the Suns analysis straight from the BSotS community who live and breathe the team.,2026-09-05T12:00:00+00:00,2026-09-05T17:20:51.882328+00:00
yahoo-nba,https://sports.yahoo.com/articles/youtube-gold-nearly-complete-video-101100073.html,YouTube Gold: A Nearly Complete Video Of Blocked Skyhooks,Blocking Kareem’s Skyhook was one of the most difficult things in basketball.,2026-09-05T10:11:00+00:00,2026-09-05T17:20:51.882328+00:00
yahoo-nba,https://sports.yahoo.com/articles/survey-results-jazz-fans-feel-053520342.html,Survey Results: How Jazz fans feel about the Cody Williams trade,How Jazz fans really feel about the Cody Williams trade,2026-09-05T05:35:20+00:00,2026-09-05T17:20:51.882328+00:00
__poll__,poll://2026-09-05/2026-09-05T17:20:51.882328+00:00,"poll ran: 1/3 feeds reachable, 6 item(s) appended",,2026-09-05,2026-09-05T17:20:51.882328+00:00
