feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/articles/lebron-james-wife-posts-daughter-004152631.html,LeBron James’ wife posts daughter dance after splashy pro volleyball investment,"LeBron James’ wife, Savannah, isn’t done with California sports quite yet. Despite LeBron no longer being a member of the Lakers, Savannah James officially became an investor with the LOVB...",2026-09-20T00:41:52+00:00,2026-09-20T08:35:02.507638+00:00
__poll__,poll://2026-09-20/2026-09-20T08:35:02.507638+00:00,"poll ran: 1/3 feeds reachable, 8 item(s) appended",,2026-09-20,2026-09-20T08:35:02.507638+00:00
yahoo-nba,https://sports.yahoo.com/articles/mmbets-philadelphia-76ers-under-immense-153515577.html,MMBets: The Philadelphia 76ers are under immense pressure to win,King James makes it imperative this team overtakes the throne,2026-09-20T15:35:15+00:00,2026-09-20T18:12:05.246269+00:00
yahoo-nba,https://sports.yahoo.com/articles/womens-super-league-three-games-111625246.html,"Women&#39;s Super League: Holdt scores double for Spurs v Palace, Brighton lead Villa","Follow and listen to action from Sunday&#39;s Women&#39;s Super League as Brighton host Aston Villa, Palace take on Spurs and West Ham play Everton.",2026-09-20T14:28:37+00:00,2026-09-20T18:12:05.246269+00:00
yahoo-nba,https://sports.yahoo.com/articles/inside-suns-suns-center-situation-120000134.html,Inside the Suns: The Suns’ center situation,Your weekly Inside the Suns analysis straight from the BSotS community who live and breathe the team.,2026-09-20T12:00:00+00:00,2026-09-20T18:12:05.246269+00:00
yahoo-nba,https://sports.yahoo.com/articles/entering-5-joe-mazzulla-100000476.html,"Entering Year 5, what should we make of Joe Mazzulla?",One of the NBA’s strangest coaching tenures remains hard to evaluate. This season might tell us more than any before it.,2026-09-20T10:00:00+00:00,2026-09-20T18:12:05.246269+00:00
yahoo-nba,https://sports.yahoo.com/articles/youtube-gold-bill-walton-zenith-094800470.html,YouTube Gold: Bill Walton At His Zenith,"Walton has a limited body of work due to injuries, but his greatness was undeniable",2026-09-20T09:48:00+00:00,2026-09-20T18:12:05.246269+00:00
__poll__,poll://2026-09-20/2026-09-20T18:12:05.246269+00:00,"poll ran: 1/3 feeds reachable, 5 item(s) appended",,2026-09-20,2026-09-20T18:12:05.246269+00:00
