feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/nba/article/the-buss-los-angeles-lakers-from-dynasty-building-under-jerry-to-a-family-feud-with-jeanie-and-her-siblings-023835848.html,The Buss Los Angeles Lakers: From dynasty building under Jerry to a family feud with Jeanie and her siblings,"For a moment Monday, the saga of the Buss Los Angeles Lakers appeared to have reached its conclusion. But Jeanie Buss made clear in a scathing letter addressing her siblings that it will carry on. Here&#39;s a look at how they got here.",2026-08-18T02:38:35+00:00,2026-08-18T03:57:41.255801+00:00
yahoo-nba,https://sports.yahoo.com/articles/raptors-reacts-player-needs-elevate-010517845.html,Raptors Reacts: Which player needs to elevate their game next to Kawhi?,A superstar needs an elite supporting cast. Do the Raptors have options ready to take the next step?,2026-08-18T01:05:17+00:00,2026-08-18T03:57:41.255801+00:00
yahoo-nba,https://sports.yahoo.com/articles/raptors-fans-confused-kawhi-nightmare-003221309.html,Raptors fans confused about when Kawhi nightmare ends,The latest plot twist in the NBA’s investigation is that we’re back to where we started.,2026-08-18T00:32:21+00:00,2026-08-18T03:57:41.255801+00:00
yahoo-nba,https://sports.yahoo.com/articles/jeanie-buss-contesting-her-familys-002941595.html,Jeanie Buss contesting her family&#39;s plan to sell its Lakers stakes,Jeanie Buss&#39; attorney sent a letter to her siblings&#39; representation asserting that any vote to sell the family&#39;s stake in the Lakers is null and void.,2026-08-18T00:29:41+00:00,2026-08-18T03:57:41.255801+00:00
__poll__,poll://2026-08-18/2026-08-18T03:57:41.255801+00:00,"poll ran: 1/3 feeds reachable, 47 item(s) appended",,2026-08-18,2026-08-18T03:57:41.255801+00:00
yahoo-nba,https://sports.yahoo.com/articles/buss-trying-block-siblings-sale-134420967.html,Buss trying to block siblings&#39; sale of LA Lakers,Los Angeles Lakers governor Jeanie Buss is trying to stop her siblings&#39; sale of the family&#39;s remaining stake in the NBA franchise.,2026-08-18T13:58:34+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/why-toronto-raptors-must-treat-124400203.html,Why the Toronto Raptors must treat the NBA Cup like the playoffs,The ultimate litmus test awaits the Raptors ahead of the 2026-27 NBA playoffs.,2026-08-18T12:44:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/cooper-flagg-working-legend-120200392.html,Cooper Flagg Update: Working Out With A Legend,This could be a really fun season for Dallas (and Duke) fans,2026-08-18T12:02:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/poll-aj-dybantsa-win-rookie-120000160.html,Poll: Will AJ Dybantsa win Rookie of the Year?,"Welcome to SB Nation Reacts, a survey of fans across the NBA. Throughout the year we ask questions of the most plugged-in Washington Wizards fans and fans across the country. In this week’s survey, we ask whether you think AJ Dybantsa will be the 2026-27 NBA Rookie of the Year. Vote in our survey below! […]",2026-08-18T12:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/start-bucks-point-guard-120000889.html,Who should start for the Bucks at point guard?,#1 Find yourself a floor general between four (mostly) qualified point guards—or else!,2026-08-18T12:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/one-rebounding-stat-explains-decades-120000422.html,One rebounding stat explains decades of Suns history,The Suns&#39; greatest rebounding performance says more about the franchise than the game itself.,2026-08-18T12:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/why-doc-rivers-hall-fame-113600575.html,Why Doc Rivers’ Hall of Fame induction felt so important,"Paul Pierce, Kevin Garnett and Ray Allen reunited with Rivers for an important moment cementing an era Celtics history.",2026-08-18T11:36:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/buyer-beware-10-game-partial-110000680.html,Buyer Beware: These 10-game partial season ticket plans from the Mavericks come with a catch,"Welcome to your support of a team that expects you to spend $1,000 and receive $900 worth of what you just bought.",2026-08-18T11:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/open-thread-san-antonio-city-110000948.html,Open Thread: San Antonio City Council rejects second arena funding vote,The 5-6 loss against adding the $489M to the November ballot,2026-08-18T11:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/why-nba-bring-game-state-110000515.html,Why the NBA should bring a game to State Farm Center,It’d be a big draw.,2026-08-18T11:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/report-kyle-korver-leave-front-110000515.html,Report: Kyle Korver to leave front office,So long Threezus.,2026-08-18T11:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/youtube-gold-rookie-julius-erving-100300466.html,YouTube Gold: Rookie Julius Erving Forever Changed Basketball..,"No one, before or since, has changed basketball the way that Julius Erving did.",2026-08-18T10:03:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/banner-years-1974-return-glory-100000449.html,"Banner Years: 1974, A Return to Glory","It’s history month at CelticsBlog, celebrating all 18 banners that hang in the rafters of TD Garden. In today&#39;s installment Russell&#39;s gone, but the Celtics are back...",2026-08-18T10:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/tuesday-posted-toasted-notes-mike-100000806.html,"Tuesday Posted & Toasted Notes: Mike & Amar’e, rings galore, Boston’s lobster","This is a stretch to say, but is the offseason melting into the preseason quicker than we expected? If we’re to base our judgement exclusively on having two of these posts published in a span of just three days, not so much! On to some links and notes! “New York, the Garden, there’s nothing like […]",2026-08-18T10:00:00+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/rockets-sign-guard-sean-pedulla-092307271.html,Rockets sign guard Sean Pedulla to two-way deal,Rockets utilize third two way contract slot.,2026-08-18T09:23:07+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/jeanie-buss-her-lawyer-push-060806202.html,"Jeanie Buss, her lawyer, push back on report Buss family to sell remaining stake in Lakers",Jeanie Buss opposes the sale and wants to remain as team governor.,2026-08-18T06:08:06+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/joe-tsai-not-changing-nets-035334537.html,Joe Tsai not changing Nets plan after ‘embarrassing’ feeling of Knicks championship,Tsai took a big swing at bringing a championship to Brooklyn by signing Kevin Durant and Kyrie Irving in free agency in the summer of 2019 and trading for James Harden in January 2021 to form their version of the Big 3.,2026-08-18T03:53:34+00:00,2026-08-18T15:45:58.577601+00:00
yahoo-nba,https://sports.yahoo.com/articles/latest-buss-family-drama-real-015222660.html,Latest Buss family drama is like a real-life episode of  ‘Succession’,"Monday afternoon played out like a real-life episode of the television show “Succession,” a satirical drama about a family fighting for control over a national media conglomerate. At the eye of...",2026-08-18T01:52:22+00:00,2026-08-18T15:45:58.577601+00:00
__poll__,poll://2026-08-18/2026-08-18T15:45:58.577601+00:00,"poll ran: 1/3 feeds reachable, 18 item(s) appended",,2026-08-18,2026-08-18T15:45:58.577601+00:00
