feed,url,title,summary,published_at,fetched_at
espn-nba,https://www.espn.com/nba/story/_/id/49526057/sources-knicks-executive-rosas-leaving-team-four-years,Sources: Knicks executive Rosas leaving team,"Knicks senior vice president of basketball operations Gersson Rosas is leaving the organization after four seasons, league sources confirmed to ESPN.",2026-08-04T04:02:35+00:00,2026-08-04T04:00:01.466963+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49521358/chris-bosh-cautions-wemby-blood-clots-take-your-medicine,Bosh issues warning to Wemby on blood clots,Retired Heat superstar Chris Bosh offered some advice and issued a warning to Spurs star Victor Wembanyama about his blood clot diagnosis and maintaining his health during his career.,2026-08-04T04:02:35+00:00,2026-08-04T04:00:01.466963+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49514965/sources-mavs-extend-naji-marshall-3-year-522m-deal,"Sources: Mavs' Marshall re-ups for 3 years, $52M","Mavericks forward Naji Marshall signed a three-year, $52.2 million extension that will take him through the 2029-30 season, sources told ESPN.",2026-08-04T04:02:35+00:00,2026-08-04T04:00:01.466963+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49521766/victor-wembanyama-host-some-spurs-teammates-workouts-france,Wembanyama to host Spurs for workouts in France,"Victor Wembanyama will host ""eight to 10"" teammates in France this week for workouts as the San Antonio Spurs look to rebound from their loss to the New York Knicks in the NBA Finals.",2026-08-04T04:02:35+00:00,2026-08-04T04:00:01.466963+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49507136/kevin-durant-compares-76ers-star-power-warriors-teams,KD compares 76ers' star power to his Warriors,Kevin Durant compared the new-look 76ers to his Warriors teams in terms of offensive firepower after Philly added LeBron James in free agency.,2026-08-04T04:02:35+00:00,2026-08-04T04:00:01.466963+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49507452/thunder-departures-part-business-game,Holmgren: OKC's departures were like losing family,"Oklahoma City's Chet Holmgren told reporters Saturday afternoon that the departures of three contributors to the Thunder's 2025 championship team felt ""like losing a family member,"" but at the same time, ""that's how the business of this game goes.""",2026-08-04T04:02:35+00:00,2026-08-04T04:00:01.466963+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49514411/donovan-mitchell-cleveland-cavaliers-coco-jones-wedding,💍 Donovan Mitchell and Coco Jones tie knot,"Mitchell and Jones shared their first dance to Musiq Soulchild's 2000 hit song ""Love,"" as seen in a video posted by agent Troy Payne on Instagram.",2026-08-04T04:02:35+00:00,2026-08-04T04:00:01.466963+00:00
yahoo-nba,https://sports.yahoo.com/articles/court-ruling-could-mean-celtics-021350141.html,Court ruling could mean Celtics&#39; second-round pick Dillon Mitchell returns to St. John&#39;s,A court ruling about college eligibility could allow some unsigned second-round picks to return for another year.,2026-08-04T02:13:50+00:00,2026-08-04T04:00:01.466963+00:00
yahoo-nba,https://sports.yahoo.com/articles/york-knicks-don-t-way-010214330.html,"The New York Knicks don’t need to be way better, but they could be",Can the Joneses keep ahead of the pack?,2026-08-04T01:02:14+00:00,2026-08-04T04:00:01.466963+00:00
yahoo-nba,https://sports.yahoo.com/articles/nba-offseason-trade-free-agent-004835724.html,"NBA Offseason Trade/Free Agent Rumors 2026: Dallas looking at Klay Thompson trades, he&#39;d be open to LA",Chris Bosh has advice for Victor Wembanyama as well.,2026-08-04T00:48:35+00:00,2026-08-04T04:00:01.466963+00:00
__poll__,poll://2026-08-04/2026-08-04T04:00:01.466963+00:00,"poll ran: 2/3 feeds reachable, 23 item(s) appended",,2026-08-04,2026-08-04T04:00:01.466963+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49522331/nba-free-agency-2027-preview-bobby-marks-stars-teams-salary-cap-extension-decisions,Bobby Marks' Way-Too-Early NBA offseason preview: 10 questions for summer '27,Golden State's franchise-altering 2027 offseason is just one of the storylines our resident GM is watching closely.,2026-08-04T15:01:27+00:00,2026-08-04T16:00:02.254339+00:00
espn-nba,https://www.espn.com/nba/story/_/id/49490878/nba-free-agency-2026-bobby-marks-wemby-lebron-deals-giannis-trade-10-offseason-trends,Free agency fact vs. fiction: Bobby Marks examines 10 offseason trends,NBA front office insider Bobby Marks answers the biggest questions as the dust settles on 2026 free agency.,2026-08-04T15:01:27+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/nba/article/nba-offseason-grades-76ers-deserve-an-a--but-does-anyone-else-report-cards-for-all-15-teams-in-the-east-155018946.html,NBA offseason grades: 76ers deserve an &#39;A&#39; — but does anyone else? Report cards for all 15 teams in the East,"Much of the NBA&#39;s summer business has been completed, which means it&#39;s time  for report cards. Let&#39;s start in the East.",2026-08-04T15:50:18+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/boston-college-dismisses-longtime-mens-143204682.html,Boston College dismisses longtime men&#39;s basketball radio broadcast crew: &#39;Gutted&#39;,Boston College has dismissed longtime men&#39;s basketball radio broadcasters Kevin Collins and Josh Maurer ahead of the upcoming 2026-27 season.,2026-08-04T14:32:04+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/tuesday-posted-toasted-notes-roses-131500722.html,"Tuesday Posted & Toasted Notes: Roses for Rosas, more ranks, some Jeremy Sochan","Another day in August means bad news for sports fans. Good news for me, it’s kinda cloudy and rainy today so I can’t complain. Links and notes below. “I’m in good shape. My finger is fine, and the operation went well. I’m back on the court and excited to start the season.” “I didn’t want […]",2026-08-04T13:15:00+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/nba-free-agent-predictions-biggest-120000368.html,NBA free agent predictions for biggest names still available,Let’s predict the landing spots for the NBA’s top remaining free agents.,2026-08-04T12:00:00+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/strangest-suns-record-survived-36-120000166.html,The strangest Suns record has survived for 36 years,One whistle-filled night in 1990 produced a record that still hasn&#39;t been broken.,2026-08-04T12:00:00+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/possible-anthony-davis-extension-headlines-120000855.html,A possible Anthony Davis extension headlines a crucial August for the Wizards,"It’s been a quiet few weeks for the Washington Wizards after a seismic June and July saw them select AJ Dybantsa with the No. 1 pick, complete a promising Las Vegas Summer League and acquire several depth pieces. August projects as less exciting. But that doesn’t mean it’s a month without importance. Below is a […]",2026-08-04T12:00:00+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/dallas-mavericks-depth-chart-shakes-110000394.html,How the Dallas Mavericks depth-chart shakes out 2 months from training camp,"Forwards, forwards and more forwards",2026-08-04T11:00:00+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/open-thread-8-10-spurs-110000556.html,Open Thread: “8-10” Spurs joining Wemby in France,It’s great to see so much offseason team building even after a finals appearance.,2026-08-04T11:00:00+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/cavs-trade-targets-jonathan-kuminga-100000063.html,Cavs Trade Targets: Jonathan Kuminga versus Peyton Watson,Would you prefer Jonathan Kuminga or Peyton Watson on the Cavs?,2026-08-04T10:00:00+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/banner-years-1959-eight-peat-100000489.html,"Banner Years: 1959, the eight-peat begins in Boston","For History Month at CelticsBlog, we’re celebrating all 18 Boston banners. Today we see how the Celtics fared in their first Finals vs. the Lakers (spoiler: not bad, not bad at all)",2026-08-04T10:00:00+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/klay-thompson-draymond-green-chirp-081448796.html,"Klay Thompson, Draymond Green chirp Kevin Durant for his 2017 Warriors take",Klay Thompson and Draymond Green responded to Kevin Durant&#39;s opinion on the 2017 Golden State Warriors vs. the 2026-27 Philadelphia 76ers.,2026-08-04T08:14:48+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/knicks-front-office-member-announces-080856500.html,Knicks Front Office Member Announces Exit After 2026 NBA Championship,A key member of the Knicks’ front office is leaving after four seasons in New York and a historic NBA championship.,2026-08-04T08:08:56+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/key-knicks-executive-leaves-four-045257773.html,Key Knicks executive leaves after four years with franchise: ‘Completion of our New York chapter’,A key Knicks executive is leaving the organization after helping to put together the squad that captured the franchise&#39;s first NBA championship in 53 years.,2026-08-04T04:52:57+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/utah-jazz-reacts-award-most-034538747.html,Utah Jazz Reacts: Which award is most likely?,What is the best case scenario for the Utah Jazz?,2026-08-04T03:45:38+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/lakers-roster-salaries-cap-space-034207246.html,"Lakers Roster, Salaries, Cap Space, Available Draft Picks and More","We are answering every possible question about the Lakers’ salary, draft pick and other team-building situations.",2026-08-04T03:42:07+00:00,2026-08-04T16:00:02.254339+00:00
yahoo-nba,https://sports.yahoo.com/articles/anthony-davis-disputes-ex-lakers-020336362.html,Anthony Davis disputes ex-Lakers coach’s LeBron James workout claim,NBA star Anthony Davis rejected a story former Los Angeles Lakers coach Lionel Hollins shared about LeBron James beating Davis to morning workouts.,2026-08-04T02:03:36+00:00,2026-08-04T16:00:02.254339+00:00
__poll__,poll://2026-08-04/2026-08-04T16:00:02.254339+00:00,"poll ran: 2/3 feeds reachable, 18 item(s) appended",,2026-08-04,2026-08-04T16:00:02.254339+00:00
