feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/articles/knicks-agree-sign-6-foot-022440924.html,Knicks agree to sign 6-foot-10 Polish forward Igor Milicic Jr. to Exhibit 10 deal,The Knicks are reportedly bringing in a tall European forward into training camp.,2026-09-13T02:24:40+00:00,2026-09-13T08:18:02.292809+00:00
yahoo-nba,https://sports.yahoo.com/articles/tyler-kolek-looking-elevate-knicks-011238884.html,Tyler Kolek looking to elevate Knicks role despite crowded backcourt,"Tyler Kolek isn’t making any predictions or declarations about cracking a crowded championship backcourt. As he said Saturday, the goal is just “every day be consistent.”",2026-09-13T01:12:38+00:00,2026-09-13T08:18:02.292809+00:00
__poll__,poll://2026-09-13/2026-09-13T08:18:02.292809+00:00,"poll ran: 1/3 feeds reachable, 14 item(s) appended",,2026-09-13,2026-09-13T08:18:02.292809+00:00
yahoo-nba,https://sports.yahoo.com/articles/nba-informs-teams-slight-increase-161353262.html,NBA informs teams of slight increase in salary cap projection for 2027-28 season to $176 million,"The previous projection had been $174 million, and teams will take any increase.",2026-09-13T16:13:53+00:00,2026-09-13T18:12:14.447348+00:00
yahoo-nba,https://sports.yahoo.com/articles/case-ziaire-williams-lakers-fifth-152400822.html,The case for Ziaire Williams as the Lakers’ fifth starter,Ziaire Williams presents a compelling case for the Lakers’ potential fifth starter as an uber-athletic wing.,2026-09-13T15:24:00+00:00,2026-09-13T18:12:14.447348+00:00
yahoo-nba,https://sports.yahoo.com/articles/5-things-excited-next-lakers-130000307.html,5 things to get excited about for next Lakers season,"It has been a wild offseason for the Lakers, who revamped their roster around Luka Doncic and are preparing to try to compete for their first championship since 2020. There’s...",2026-09-13T13:00:00+00:00,2026-09-13T18:12:14.447348+00:00
yahoo-nba,https://sports.yahoo.com/articles/player-preview-suns-crowded-guard-120000881.html,Player Preview: The Suns’ crowded guard room leaves Bouyea fighting for survival,"Bouyea turned a two-way opportunity into a roster spot, but Phoenix’s deeper backcourt makes his next step considerably harder.",2026-09-13T12:00:00+00:00,2026-09-13T18:12:14.447348+00:00
yahoo-nba,https://sports.yahoo.com/articles/knicks-sign-milicic-exhibit-10-103000414.html,"Knicks sign Milicic to Exhibit 10 contract. No, not that Milicic",The defending champion Knicks are continuing to build out their training camp roster.,2026-09-13T10:30:00+00:00,2026-09-13T18:12:14.447348+00:00
yahoo-nba,https://sports.yahoo.com/articles/julius-randle-believes-nets-shock-061634275.html,Julius Randle believes Nets will ‘shock the world’,"Julius Randle has a simple message for anyone setting expectations for the Brooklyn Nets this season: prepare to be surprised. Shortly after the Nets acquired Randle in June, first-round rookie Mikel Brown Jr. shared with reporters that the three-time All-Star had told him Brooklyn was going to “shock the world.” So, when NetsDaily caught up […]",2026-09-13T06:16:34+00:00,2026-09-13T18:12:14.447348+00:00
__poll__,poll://2026-09-13/2026-09-13T18:12:14.447348+00:00,"poll ran: 1/3 feeds reachable, 6 item(s) appended",,2026-09-13,2026-09-13T18:12:14.447348+00:00
yahoo-nba,https://sports.yahoo.com/articles/why-lakers-vastly-overrated-heading-230115532.html,Why the Lakers are vastly overrated heading into 2026-27 NBA season,"How good will the Lakers be next season? Depends who you ask. In an appearance on “The Bill Simmons Podcast,” Charles Barkley said the Lakers are “probably better” than the...",2026-09-13T23:01:15+00:00,2026-09-14T08:54:33.489100+00:00
yahoo-nba,https://sports.yahoo.com/articles/bulls-star-guard-rips-lakers-211950539.html,Bulls’ All-Star guard rips Lakers as NBA’s most overrated team,The new look Lakers are already catching strays. Bulls All-Star guard Norman Powell named the Lakers as the most overrated team in the NBA on a recent Kick stream with...,2026-09-13T21:19:50+00:00,2026-09-14T08:54:33.489100+00:00
yahoo-nba,https://sports.yahoo.com/articles/boston-celtics-daily-links-9-202407093.html,Boston Celtics Daily Links 9/13/26,All the Celtics news you need in one convenient place.,2026-09-13T20:24:07+00:00,2026-09-14T08:54:33.489100+00:00
yahoo-nba,https://sports.yahoo.com/articles/jayson-tatum-gives-celtics-fans-194008916.html,Jayson Tatum gives Celtics fans 59 seconds of offseason optimism,A new Duke highlight reel has Tatum looking explosive. Celtics fans are dreaming of another All-NBA season.,2026-09-13T19:40:08+00:00,2026-09-14T08:54:33.489100+00:00
yahoo-nba,https://sports.yahoo.com/articles/case-starting-khaman-maluach-over-190000561.html,The case for starting Khaman Maluach over Oso Ighodaro,"Williams’ injury creates an opening for Maluach to provide the size, rebounding, rim protection, and spacing Phoenix needs.",2026-09-13T19:00:00+00:00,2026-09-14T08:54:33.489100+00:00
yahoo-nba,https://sports.yahoo.com/articles/netsdaily-off-season-report-no-182244196.html,NetsDaily Off-Season Report – No. 22,"Every weekend, we update the Nets off-season with information, gossip, etc. to help fans get ready for … whatever.",2026-09-13T18:22:44+00:00,2026-09-14T08:54:33.489100+00:00
yahoo-nba,https://sports.yahoo.com/articles/steve-kerr-candidly-reflects-warriors-175040690.html,Steve Kerr candidly reflects on Warriors&#39; failure to get younger this offseason,Warriors coach Steve Kerr believes Golden State did its best to put together a roster that can compete during the 2026-27 NBA season.,2026-09-13T17:50:40+00:00,2026-09-14T08:54:33.489100+00:00
yahoo-nba,https://sports.yahoo.com/articles/why-steve-kerr-understands-warriors-153225071.html,Why Steve Kerr understands Warriors fans&#39; ‘weird&#39; feelings about LeBron pursuit,Steve Kerr discussed some interesting interactions with Warriors fans after Golden State&#39;s failed pursuit of LeBron James during the NBA offseason.,2026-09-13T15:32:25+00:00,2026-09-14T08:54:33.489100+00:00
