feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/articles/josh-hart-says-knicks-ready-034240300.html,Josh Hart says Knicks ‘ready to get to work’ on trying to repeat,The Knicks are done with the championship celebrations. They don’t need — or want — more pats on the back. They’ve turned the page.,2026-09-18T03:42:40+00:00,2026-09-18T08:15:04.217440+00:00
yahoo-nba,https://sports.yahoo.com/articles/kevin-porter-jr-gets-married-033448642.html,Kevin Porter Jr. gets married — with his wife trading bridal white for all black,Kevin Porter Jr. is a married man.,2026-09-18T03:34:48+00:00,2026-09-18T08:15:04.217440+00:00
yahoo-nba,https://sports.yahoo.com/articles/lakers-sign-forward-exhibit-10-003134688.html,Lakers sign forward to Exhibit 10 contract,"The Lakers have signed forward Anton Watson to an Exhibit 10 contract, the team announced Thursday. The 6-foot-8, 225-pound forward played for the South Bay Lakers last season, averaging 11...",2026-09-18T00:31:34+00:00,2026-09-18T08:15:04.217440+00:00
__poll__,poll://2026-09-18/2026-09-18T08:15:04.217440+00:00,"poll ran: 1/3 feeds reachable, 24 item(s) appended",,2026-09-18,2026-09-18T08:15:04.217440+00:00
yahoo-nba,https://sports.yahoo.com/articles/jayson-tatum-jaylen-brown-love-181655191.html,Jayson Tatum on Jaylen Brown: &#39;I love that guy&#39;,"Tatum, like Celtics fans, is still adjusting to the idea of a team without Brown.",2026-09-18T18:16:55+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/jazz-just-extended-keyonte-george-171249315.html,Keyonte George gets huge extension from Utah Jazz. Was it worth it?,Keyonte George was one of nine NBA players last season to average at least 23 points and 6 assists. The Utah Jazz have extended his rookie contract.,2026-09-18T17:12:49+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/nba/article/jason-timpf-joins-for-a-lakers-conversation-natasha-howard-interview--biggest-questions-entering-the-postseason-171051008.html,Jason Timpf joins for a Lakers conversation! Natasha Howard interview + biggest questions entering the postseason,"Nekias Duncan and Steve Jones are joined by Jason Timpf for a wide-ranging conversation about the Los Angeles Lakers, discuss the biggest WNBA storylines heading in to the playoffs and Natasha Howard joins the show!",2026-09-18T17:10:51+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/michael-sweetney-former-georgetown-star-164826419.html,"Michael Sweetney, former Georgetown star and Knicks lottery pick, dies at 43",He remains in the top 10 in several all-time categories at Georgetown.,2026-09-18T16:48:26+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/cleveland-promotes-long-time-executive-161909722.html,Cleveland promotes long-time executive Brandon Weems to General Manager,Weems was a high school teammate of LeBron James who carved his own path in the league.,2026-09-18T16:19:09+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/three-areas-rockets-must-improve-160852345.html,Three areas the Rockets must improve this season,The Rockets are good. But what do they need to be great?,2026-09-18T16:08:52+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/utah-locks-guard-keyonte-george-155252108.html,"Utah locks up guard Keyonte George with reported five-year, $157.5 million extension",George and No. 2 pick Darryn Peterson are locked in as the Jazz backcourt of the future.,2026-09-18T15:52:52+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/dumb-moments-title-much-sweeter-154500224.html,All the dumb moments that make this title so much sweeter: Part I (1974-89),"As we get closer to Opening Night, it’s time to start closing the book on the 53-year journey that brought us here.",2026-09-18T15:45:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/joel-embiid-best-playoff-games-152709244.html,"Joel Embiid’s Best Playoff Games, Part IV: Game 3 vs. New York in 2024",Embiid’s playoff career high had to appear at some point in our series.,2026-09-18T15:27:09+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/did-lakers-finally-modern-big-152400632.html,Did the Lakers finally find their modern big in Sandro Mamukelashvili?,Sandro Mamukelashvili adds a different dynamic to a potent Lakers offense.,2026-09-18T15:24:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/nba/breaking-news/article/jazz-guard-keyonte-george-reportedly-agrees-to-5-year-1575-million-extension-151207825.html,"Jazz guard Keyonte George reportedly agrees to 5-year, $157.5 million extension","George averaged a career-high 23.6 points and 6.1 assists during the 2025-26 campaign, his third season in the NBA.",2026-09-18T15:12:07+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/lebron-james-childhood-friend-hs-144531396.html,"LeBron James&#39; childhood friend, HS teammate promoted to Cavaliers GM",Brandon Weems has been promoted to general manager of the Cleveland Cavaliers after rising through the team&#39;s front office over the past decade.,2026-09-18T14:45:31+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/bounce-winning-mvp-better-title-143105910.html,The Bounce: Winning an MVP is better than a title? Tracy McGrady thinks so,"The Bounce Newsletter | This is The Athletic’s daily NBA newsletter. Sign up here to receive The Bounce directly in your inbox. Good morning! It’s been a busier week around the NBA than I expected. I accidentally started a basketball book club on X (formerly Twitter). Let’s get to it T-Mac’s Take McGrady would rather have an MVP than a title No really! In a recent episode of his “Cousins” podcast alongside NBA legend Vince Carter, Hall of Famer Tracy McGrady said he would rather have an MVP than",2026-09-18T14:31:05+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/adem-bona-foot-injury-exposes-140028195.html,Adem Bona’s foot injury exposes the Sixers’ potential fatal flaw this season,Adem Bona&#39;s foot sprain is an unwelcome reminder of how flimsy the Sixers&#39; center depth still is behind Joel Embiid.,2026-09-18T14:00:28+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/nba/article/nba-games-are-coming-to-dazn-how-to-watch-the-cavaliers-spurs-pacers-and-more-during-the-2026-27-season-133300612.html,"NBA games are coming to DAZN: How to watch the Cavaliers, Spurs, Pacers and more during the 2026-27 season","Some NBA games are streaming on DAZN this season, here&#39;s what you need to know.",2026-09-18T13:33:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/nba/breaking-news/article/brandon-weems-promoted-by-cavaliers-to-general-manager-130831815.html,Brandon Weems promoted by Cavaliers to general manager,Weems originally joined the organization in 2015 as a scout.,2026-09-18T13:08:31+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/why-free-agents-showed-less-120000927.html,Why free agents showed less interest in Lakers this offseason than usual,Something curious is happening with the Lakers. They’re the second-winningest franchise in the NBA with 17 championships. They have a top-four player in the league in Luka Dončić. They’re located...,2026-09-18T12:00:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/player-preview-duop-reath-enters-120000623.html,Player Preview: Duop Reath enters camp competing for a role at center,"Reath’s shooting makes him intriguing, but his rebounding and defensive limitations could keep him from sticking.",2026-09-18T12:00:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/ranking-roster-nate-ament-raises-120000281.html,Ranking the Roster: Nate Ament raises eyebrows at 14,"With fluctuating expectations for Ament across the fanbase, this will be a year of learning for everyone.",2026-09-18T12:00:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/open-thread-old-footage-spurs-110000457.html,Open Thread: Old footage of the Spurs triggers nostalgia,Start your weekend with a classic cut,2026-09-18T11:00:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/acc-players-taken-last-two-105800672.html,ACC Players Taken In The Last Two NBA Drafts,As Barry Jacobs returns,2026-09-18T10:58:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/knicks-halt-ticket-sales-admitting-104221348.html,Knicks halt ticket sales after admitting prices were mistake,MSG backs down from four-figure Knicks ticket prices,2026-09-18T10:42:21+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/countdown-practice-3-paul-mcneil-100000001.html,Countdown to Practice #3: Paul McNeil,P2 is back!,2026-09-18T10:00:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/derrick-white-resurgence-100000763.html,Derrick White’s resurgence,White carried a heavy creation burden and his efficiency took a hit. Now he slides back into his comfort zone.,2026-09-18T10:00:00+00:00,2026-09-18T18:28:37.275476+00:00
yahoo-nba,https://sports.yahoo.com/articles/sixers-pre-camp-questions-whats-100000170.html,Sixers pre-camp questions: What&#39;s the next step for Edgecombe?,Where can VJ Edgecombe make significant improvement in his second NBA season?,2026-09-18T10:00:00+00:00,2026-09-18T18:28:37.275476+00:00
