feed,url,title,summary,published_at,fetched_at
yahoo-nba,https://sports.yahoo.com/articles/watch-nikola-jokic-drop-20-013750044.html,"Watch Nikola Jokic drop 20 points, lead Serbia past Wembanyama, France in friendly","After the game, Jokic had nothing but praise for Wembanyama.",2026-08-21T01:37:50+00:00,2026-08-21T04:00:50.795186+00:00
yahoo-nba,https://sports.yahoo.com/articles/former-alabama-basketball-player-kai-011243835.html,Former Alabama basketball player Kai Spears wins defamation case against New York Times,"Former Alabama men&#39;s basketball walk-on Kai Spears won a defamation lawsuit against The New York Times, which incorrectly linked him to a murder scene",2026-08-21T01:12:43+00:00,2026-08-21T04:00:50.795186+00:00
yahoo-nba,https://sports.yahoo.com/articles/netsdaily-reacts-many-games-nets-004926231.html,NetsDaily Reacts: How many games will the Nets win in 2026-27?,"For whatever it means to the Brooklyn Nets, oddsmakers and pundits don’t project win totals based on morale or culture-building. FanDuel pegged the Nets at 24.5 games this season — one season after they won 20 in 2025-26. Brooklyn added three-time All-Star Julius Randle and clearly improved this offseason, but the Eastern Conference only got stronger following the […]",2026-08-21T00:49:26+00:00,2026-08-21T04:00:50.795186+00:00
__poll__,poll://2026-08-21/2026-08-21T04:00:50.795186+00:00,"poll ran: 1/3 feeds reachable, 25 item(s) appended",,2026-08-21,2026-08-21T04:00:50.795186+00:00
